size,gzip_size,gzip_time,paper_size,paper_time
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.003,2,0.001
2,132,0.005,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.003,2,0.001
2,132,0.004,2,0.001
2,132,0.002,2,0.001
2,132,0.003,2,0.001
2,132,0.003,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.003,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.002,2,0.001
2,132,0.003,2,0.001
2,132,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.003,2,0.001
4,136,0.003,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.003,2,0.001
4,136,0.003,2,0.001
4,136,0.003,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.003,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.003,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
4,136,0.003,2,0.001
4,136,0.002,2,0.001
4,136,0.002,2,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.003
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.003,3,0.001
8,138,0.002,3,0.001
8,138,0.002,3,0.001
16,145,0.003,5,0.001
16,145,0.002,5,0.001
16,145,0.005,5,0.001
16,145,0.002,5,0.001
16,145,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.002,5,0.001
16,146,0.002,5,0.001
16,146,0.003,5,0.001
16,146,0.003,5,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.003,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
32,153,0.002,9,0.001
32,153,0.003,9,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
64,168,0.003,17,0.001
64,168,0.002,17,0.001
64,168,0.002,17,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.003,33,0.001
128,198,0.003,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.002,33,0.001
128,198,0.003,33,0.001
128,198,0.002,33,0.001
128,195,0.002,33,0.001
128,195,0.003,33,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.002,65,0.001
256,252,0.003,65,0.001
256,252,0.003,65,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.003,129,0.001
512,347,0.003,129,0.001
512,347,0.002,129,0.001
512,347,0.002,129,0.001
512,347,0.003,129,0.001
512,347,0.003,129,0.001
512,347,0.003,129,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.003,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.002
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.003,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
1024,529,0.002,257,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.003,513,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.003,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,866,0.002,513,0.001
2048,873,0.003,513,0.001
2048,873,0.002,513,0.001
2048,873,0.002,513,0.001
2048,873,0.002,513,0.001
2048,873,0.003,513,0.001
2048,873,0.003,513,0.001
2048,873,0.003,513,0.001
2048,873,0.002,513,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.003,1025,0.001
4096,1524,0.002,1025,0.001
4096,1524,0.003,1025,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.004,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
8192,2786,0.003,2049,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.005,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
16384,5296,0.004,4097,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.005,8193,0.001
32768,10150,0.005,8193,0.001
32768,10150,0.006,8193,0.001
32768,10150,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.006,8193,0.001
32768,10155,0.005,8193,0.001
32768,10155,0.005,8193,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.01,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.01,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
65536,19756,0.009,16385,0.001
131072,38853,0.016,32769,0.001
131072,38853,0.016,32769,0.001
131072,38853,0.017,32769,0.002
131072,38853,0.016,32769,0.001
131072,38853,0.017,32769,0.001
131072,38853,0.015,32769,0.001
131072,38853,0.014,32769,0.001
131072,38853,0.015,32769,0.001
131072,38853,0.015,32769,0.001
131072,38853,0.015,32769,0.001
131072,38853,0.016,32769,0.001
131072,38853,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.016,32769,0.001
131072,38926,0.016,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.014,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.014,32769,0.001
131072,38926,0.014,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.014,32769,0.001
131072,38926,0.014,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
131072,38926,0.015,32769,0.001
262144,77225,0.028,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.028,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.029,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77225,0.027,65537,0.002
262144,77205,0.03,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.029,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
262144,77205,0.027,65537,0.002
524288,153815,0.052,131073,0.005
524288,153815,0.053,131073,0.003
524288,153815,0.052,131073,0.003
524288,153815,0.052,131073,0.003
524288,153815,0.053,131073,0.003
524288,153815,0.052,131073,0.003
524288,153815,0.053,131073,0.003
524288,153815,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.052,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.052,131073,0.003
524288,153724,0.052,131073,0.003
524288,153724,0.052,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.053,131073,0.003
524288,153724,0.052,131073,0.003
524288,153724,0.052,131073,0.003
524288,153757,0.053,131073,0.003
524288,153757,0.053,131073,0.003
524288,153757,0.052,131073,0.003
524288,153757,0.052,131073,0.003
524288,153757,0.052,131073,0.003
524288,153757,0.052,131073,0.003
524288,153757,0.052,131073,0.003
1048576,306959,0.103,262145,0.006
1048576,306959,0.102,262145,0.006
1048576,306959,0.103,262145,0.006
1048576,306959,0.103,262145,0.006
1048576,306959,0.102,262145,0.006
1048576,307110,0.102,262145,0.006
1048576,307110,0.105,262145,0.006
1048576,307110,0.102,262145,0.006
1048576,307110,0.103,262145,0.006
1048576,307110,0.103,262145,0.006
1048576,307110,0.103,262145,0.006
1048576,307110,0.103,262145,0.007
1048576,307110,0.102,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.102,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307012,0.103,262145,0.006
1048576,307047,0.103,262145,0.006
1048576,307047,0.103,262145,0.006
1048576,307047,0.103,262145,0.006
1048576,307047,0.102,262145,0.006
1048576,307047,0.102,262145,0.006
1048576,307047,0.108,262145,0.006
1048576,307047,0.103,262145,0.006
1048576,307047,0.103,262145,0.006
1048576,306951,0.103,262145,0.006
2097152,613337,0.204,524289,0.012
2097152,613337,0.205,524289,0.012
2097152,613337,0.204,524289,0.012
2097152,613337,0.203,524289,0.012
2097152,613151,0.203,524289,0.012
2097152,613151,0.203,524289,0.012
2097152,613151,0.206,524289,0.012
2097152,613151,0.204,524289,0.012
2097152,613481,0.203,524289,0.012
2097152,613481,0.204,524289,0.012
2097152,613481,0.203,524289,0.012
2097152,613481,0.204,524289,0.012
2097152,613428,0.204,524289,0.012
2097152,613428,0.204,524289,0.012
2097152,613428,0.205,524289,0.012
2097152,613428,0.204,524289,0.012
2097152,613411,0.203,524289,0.012
2097152,613411,0.203,524289,0.012
2097152,613411,0.203,524289,0.012
2097152,613411,0.203,524289,0.012
2097152,613411,0.203,524289,0.012
2097152,613376,0.203,524289,0.012
2097152,613376,0.203,524289,0.012
2097152,613376,0.203,524289,0.012
2097152,613376,0.204,524289,0.012
2097152,613392,0.204,524289,0.012
2097152,613392,0.204,524289,0.012
2097152,613392,0.204,524289,0.012
2097152,613392,0.204,524289,0.012
2097152,613354,0.207,524289,0.013
4194304,1226379,0.403,1048577,0.023
4194304,1226379,0.489,1048577,0.028
4194304,1226384,0.403,1048577,0.023
4194304,1226384,0.403,1048577,0.023
4194304,1226463,0.403,1048577,0.023
4194304,1226463,0.403,1048577,0.023
4194304,1225777,0.403,1048577,0.023
4194304,1225777,0.403,1048577,0.023
4194304,1226270,0.405,1048577,0.023
4194304,1226270,0.419,1048577,0.037
4194304,1226345,0.602,1048577,0.031
4194304,1226345,0.56,1048577,0.034
4194304,1226437,0.421,1048577,0.025
4194304,1226172,0.411,1048577,0.023
4194304,1226172,0.407,1048577,0.023
4194304,1226166,0.407,1048577,0.023
4194304,1226458,0.509,1048577,0.033
4194304,1226254,0.551,1048577,0.051
4194304,1226254,0.465,1048577,0.032
4194304,1226287,0.548,1048577,0.027
4194304,1226287,0.443,1048577,0.023
4194304,1226329,0.404,1048577,0.023
4194304,1226329,0.42,1048577,0.023
4194304,1226128,0.527,1048577,0.023
4194304,1226227,0.463,1048577,0.023
4194304,1226227,0.423,1048577,0.023
4194304,1225957,0.407,1048577,0.023
4194304,1225957,0.406,1048577,0.023
4194304,1226263,0.407,1048577,0.024
4194304,1226263,0.407,1048577,0.023
8388608,2452066,0.813,2097153,0.045
8388608,2451776,0.81,2097153,0.045
8388608,2452059,0.931,2097153,0.045
8388608,2451804,0.806,2097153,0.045
8388608,2451594,0.814,2097153,0.045
8388608,2451799,0.812,2097153,0.048
8388608,2452287,0.823,2097153,0.069
8388608,2452206,0.834,2097153,0.045
8388608,2452078,0.848,2097153,0.047
8388608,2451569,0.803,2097153,0.045
8388608,2451591,0.81,2097153,0.048
8388608,2452069,0.81,2097153,0.045
8388608,2451930,0.805,2097153,0.047
8388608,2451643,0.804,2097153,0.045
8388608,2451676,0.808,2097153,0.045
8388608,2451561,0.815,2097153,0.045
8388608,2451874,0.804,2097153,0.045
8388608,2452058,0.808,2097153,0.049
8388608,2451592,0.818,2097153,0.061
8388608,2452065,0.856,2097153,0.061
8388608,2452098,1.061,2097153,0.113
8388608,2451786,0.899,2097153,0.045
8388608,2451786,0.805,2097153,0.045
8388608,2451385,0.833,2097153,0.045
8388608,2451920,0.86,2097153,0.054
8388608,2451444,1.098,2097153,0.062
8388608,2452301,0.823,2097153,0.045
8388608,2452139,0.805,2097153,0.045
8388608,2452109,0.949,2097153,0.046
8388608,2451917,0.941,2097153,0.05
16777216,4903587,1.881,4194305,0.144
16777216,4903257,1.63,4194305,0.09
16777216,4903086,1.623,4194305,0.09
16777216,4903760,1.607,4194305,0.09
16777216,4903647,1.605,4194305,0.09
16777216,4903383,1.609,4194305,0.09
16777216,4903212,1.693,4194305,0.09
16777216,4903093,1.857,4194305,0.096
16777216,4902986,1.609,4194305,0.091
16777216,4903132,1.609,4194305,0.091
16777216,4903396,1.849,4194305,0.102
16777216,4903049,1.853,4194305,0.091
16777216,4903064,1.619,4194305,0.09
16777216,4903248,1.613,4194305,0.091
16777216,4903157,1.71,4194305,0.09
16777216,4902719,1.676,4194305,0.135
16777216,4902784,1.62,4194305,0.09
16777216,4903209,1.611,4194305,0.09
16777216,4902856,1.623,4194305,0.09
16777216,4903419,1.615,4194305,0.091
16777216,4903010,1.61,4194305,0.09
16777216,4903511,1.61,4194305,0.09
16777216,4902809,1.607,4194305,0.09
16777216,4902156,1.61,4194305,0.09
16777216,4903262,1.609,4194305,0.09
16777216,4903015,1.605,4194305,0.09
16777216,4903320,1.697,4194305,0.108
16777216,4903899,1.612,4194305,0.092
